Cohort,Year,Cohort type,Format,Start Date,End Date,Dynamic,Value before,Value after,Change,% Change
HE-Brown-2024,2025,Higher Ed,6-week,6/17/2025,7/29/2025,D3,3.6,4.2,0.6,17%
HE-Tanner-2024,2025,Higher Ed,Course,1/19/2025,3/5/2025,D4,3.1,3.9,0.8,26%
HE-Tanner-2024,2025,Higher Ed,Course,1/19/2025,3/5/2025,D5,3.7,3.8,0.1,3%
HE-Tanner-2024,2025,Higher Ed,Course,1/19/2025,3/5/2025,D6,2.7,3.4,0.7,26%
HE-Tanner-2024,2025,Higher Ed,Course,1/19/2025,3/5/2025,D7,2.9,3.4,0.5,17%
HE-Tanner-2024,2025,Higher Ed,Course,1/19/2025,3/5/2025,D8,3.5,3.6,0.1,3%
HE-Marty-Dugas-2024,2025,Higher Ed,6-week,1/22/2025,3/5/2025,D1,4.7,5,0.3,6%
HE-Marty-Dugas-2024,2025,Higher Ed,6-week,1/22/2025,3/5/2025,D2,3.8,4.2,0.4,11%
HE-Marty-Dugas-2024,2025,Higher Ed,6-week,1/22/2025,3/5/2025,D4,3.4,4,0.6,18%
HE-Marty-Dugas-2024,2025,Higher Ed,6-week,1/22/2025,3/5/2025,D5,3.3,3.8,0.5,15%
HE-Marty-Dugas-2024,2025,Higher Ed,6-week,1/22/2025,3/5/2025,D6,3.1,3.7,0.6,19%
HE-Marty-Dugas-2024,2025,Higher Ed,6-week,1/22/2025,3/5/2025,D7,3.1,3.7,0.6,19%
HE-Marty-Dugas-2024,2025,Higher Ed,6-week,1/22/2025,3/5/2025,D8,4,4.3,0.3,8%
HE-Stoeckl-2024,2025,Higher Ed,Course,1/30/2025,3/13/2025,D1,4.5,4.7,0.2,4%
HE-Stoeckl-2024,2025,Higher Ed,Course,1/30/2025,3/13/2025,D2,3.8,4.4,0.6,16%
HE-Ciulla-2024,2024,Higher Ed,6-week,3/10/2025,4/21/2025,D3,3.63,4,0.37,10%
HE-Stoeckl-2024,2025,Higher Ed,Course,1/30/2025,3/13/2025,D4,3.4,4.2,0.8,24%
HE-Stoeckl-2024,2025,Higher Ed,Course,1/30/2025,3/13/2025,D5,3.6,4.3,0.7,19%
HE-Stoeckl-2024,2025,Higher Ed,Course,1/30/2025,3/13/2025,D6,3,4,1,33%
HE-Stoeckl-2024,2025,Higher Ed,Course,1/30/2025,3/13/2025,D7,2.9,3.9,1,34%
HE-Stoeckl-2024,2025,Higher Ed,Course,1/30/2025,3/13/2025,D8,4,4.6,0.6,15%
HE-Olins-2024,2025,Higher Ed,Course,2/21/2025,4/1/2025,D1,4.1,4.8,0.7,17%
HE-Olins-2024,2025,Higher Ed,Course,2/21/2025,4/1/2025,D2,3.2,3.9,0.7,22%
HE-Fountain-2024,2025,Higher Ed,Retreat,4/11/2025,4/13/2025,D3,4.3,4.8,0.5,12%
HE-Olins-2024,2025,Higher Ed,Course,2/21/2025,4/1/2025,D4,2.7,3.6,0.9,33%
HE-Olins-2024,2025,Higher Ed,Course,2/21/2025,4/1/2025,D5,3.3,4.2,0.9,27%
HE-Olins-2024,2025,Higher Ed,Course,2/21/2025,4/1/2025,D6,2.5,3.4,0.9,36%
HE-Olins-2024,2025,Higher Ed,Course,2/21/2025,4/1/2025,D7,2.7,3.7,1,37%
HE-Olins-2024,2025,Higher Ed,Course,2/21/2025,4/1/2025,D8,3.9,4.6,0.7,18%
HE-Tozer-2024,2025,Higher Ed,Course,2/21/2025,4/1/2025,D1,3.8,4.6,0.8,21%
HE-Tozer-2024,2025,Higher Ed,Course,2/21/2025,4/1/2025,D2,2.8,4,1.2,43%
HE-Grant-2024,2025,Higher Ed,Course,1/20/2025,5/7/2025,D3,4.4,4.2,-0.2,-5%
HE-Tozer-2024,2025,Higher Ed,Course,2/21/2025,4/1/2025,D4,2.7,3.7,1,37%
HE-Tozer-2024,2025,Higher Ed,Course,2/21/2025,4/1/2025,D5,3.1,3.8,0.7,23%
HE-Tozer-2024,2025,Higher Ed,Course,2/21/2025,4/1/2025,D6,2.5,3.5,1,40%
